,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
1311,Load Shed/Declared EECP,2006,4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,American Electric Power,Texas,ERCOT,108,"51,404",load shedding,31,-100,,
1312,Severe Weather/ Tornadoes,2006,4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,Southern Company,"Alabama, Georgia",SERC,300,"115,589","severe weather, tornado",32.31823,-86.902298,,
1313,Voltage Reduction/Load Shed,2006,4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,116,"54,700","voltage reduction, load shedding",18.2208,66.5901,,
1314,Major Storms/Tornadoes,2006,4/2/2006,9:00 p.m.,4/5/2006,4:25 a.m.,Cinergy PSI,Indiana,RFC,"1,000","186,000","severe weather, tornado, storm",40.273502,-86.126976,,
1315,Severe Weather,2006,3/12/2006,8:30 p.m.,3/14/2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)",Illinois,RFC,200,"65,400",severe weather,40,-89,,
1316,Severe Weather,2006,3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Texas",SERC,,"73,000",severe weather,34.799999,-92.199997,,
1317,Severe Winter Storm,2006,2/27/2006,6:25 p.m.,3/1/2006,2:30 p.m.,Pacific Gas and Electric Company,California,WECC,-,"160,000","severe weather, winter storm",36.778259,-119.417931,,
1318,Inadequate Electric Resources to Serve Load,2006,2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Public Service Company of Colorado,Colorado,WECC,428,-,load shedding,39.113014,-105.358887,,
1319,Severe Weather,2006,2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,National Grid - NY  (Niagara Mohawk Power Corp),New York,NPCC,250,"200,000",severe weather,43,-75,,
1320,Fuel Supply - Deficiency Coal Rail Transportation Interruption,2006,2/16/2006,Ongoing,Ongoing,Ongoing,Missouri Basin Power District,North Dakota,MRO,"1,650",0,"fuel supply emergency, coal",47.650589,-100.437012,,
1321,Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,12:00 p.m.,2/20/2006,11:00 p.m.,Consumers Energy,Michigan,RFC,100,"252,089","severe weather, winter storm",44.182205,-84.506836,,
1322,Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Delmarva Power,Delaware,RFC,50,"58,000","severe weather, winter storm",39,-75.5,,
1323,Major Snow Storm,2006,2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,Potomac Electric Power Company,Maryland,RFC,300,"60,000","severe weather, winter storm",39.045753,-76.641273,,
1324,Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Atlantic City Electric,New Jersey,RFC,80,"130,000","severe weather, winter storm",39.833851,-74.871826,,
1325,Severe Snow Storm,2006,2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Dominion - Virginia Power,Virginia,RFC,250,"126,000","severe weather, winter storm",37.926868,-78.024902,,
1326,Major Snow Storm,2006,2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Gas and Electric,Maryland,RFC,500,"180,000","severe weather, winter storm",39.045753,-76.641273,,
1327,Severe Windstorm,2006,2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Puget Sound Energy,Washington,WECC,--,"140,000","severe weather, wind",47.751076,-120.740135,,
1328,Strong Winds,2006,2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,Snohomish County PUD #1,Washington,WECC,150,"123,827","severe weather, wind",47.751076,-120.740135,,
1329,Severe Storm,2006,1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Central Maine Power Company,Maine,NPCC,75,"63,000","severe weather, storm",45.367584,-68.972168,,
1330,High Winds,2006,1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,PECO Energy,"Delaware, Pennsylvania",RFC,--,"142,315","severe weather, wind",39,-75.5,,
1331,Severe Storms,2005,12/31/2005,6:00 a.m.,1/5/2006,9:00 a.m.,Pacific Gas and Electric,California,WECC,800,"1,667,316","severe weather, storm",36.778259,-119.417931,,
1332,Ice Storm,2005,12/15/2005,4:00 a.m.,12/21/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,"North Carolina, South Carolina",SERC,"3,500","683,000","severe weather, winter storm",35.782169,-80.793457,,
1333,Ice Storm,2005,12/15/2005,5:05 a.m.,12/16/2005,12:10  p.m.,Southern Company,Georgia,SERC,75,"52,659","severe weather, winter storm",33.247875,-83.441162,,
1334,Severe Thunderstorms,2005,11/12/2005,4:00 p.m.,11/14/2005,6:00 p.m.,We Energies,Wisconsin,MAIN,10,"48,000","severe weather, thunderstorm",44.5,-89.5,,
1335,Severe Thunderstorm,2005,11/12/2005,11:00 p.m.,11/14/2005,11:59 p.m.,Consumers Energy,Michigan,ECAR,408,"272,355","severe weather, thunderstorm",44.182205,-84.506836,,
1336,Severe Thunderstorm,2005,11/6/2005,7:30 a.m.,11/11/2005,11:30  p.m.,DTE Energy,Michigan,ECAR,212,"118,000","severe weather, thunderstorm",44.182205,-84.506836,,
1337,Plant Tripped,2005,11/3/2005,6:47 p.m.,11/3/2005,7:00 p.m.,Crockett Cogeneration,California,WECC,136,--,equipment failure,36.778259,-119.417931,,
1338,Hurricane Wilma,2005,10/24/2005,8:00 p.m.,11/2/2005,4:30 p.m.,Allegheny Power,"Maryland, West Virginia, Pennsylvania",MAAC,400,"303,795","severe weather, hurricane/tropical storm",39.045753,-76.641273,,
1339,Hurricane Wilma,2005,10/24/2005,4:00 a.m.,10/24/2005,4:00 p.m.,Seminole Electric Cooperative,Florida,FRCC,280,"105,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1340,Hurricane Wilma,2005,10/24/2005,7:00 a.m.,11/10/2005,12:00 a.m.,Florida Municipal Power Agency,Florida,FRCC,148,"84,900","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1341,Hurricane Wilma,2005,10/23/2005,8:00 p.m..,10/24/2005,2:00 p.m.,Florida Power and Light,Florida,FRCC,"10,000","3,241,437","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1342,Voltage Reduction/Load Shed,2005,10/22/2005,9:44 a.m.,10/22/2005,11:40 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,360,"85,682","voltage reduction, load shedding",18.2208,66.5901,,
1343,Voltage Reduction/Load Shed,2005,10/18/2005,3:19 p.m.,10/18/2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,460,"142,591","voltage reduction, load shedding",18.2208,66.5901,,
1344,Voltage Reduction/Load Shed,2005,10/2/2005,5:40 p.m.,10/2/2005,5:54 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,312,"71,240","voltage reduction, load shedding",18.2208,66.5901,,
1345,Hurricane Rita,2005,9/24/2005,10:00 a.m.,9/28/2005,6:00 p.m.,American Electric Power - CSWS,Louisiana,ECAR,700,"190,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
1346,Hurricane Rita,2005,9/24/2005,6:00 a.m.,10/2/2005,5:00 p.m.,TXU Electric Delivery Company,Texas,ERCOT,260,"200,000","severe weather, hurricane/tropical storm",31,-100,,
1347,Hurricane Rita,2005,9/23/2005,5:00 p.m.,9/24/2005,8:00 p.m.,CenterPoint Energy Houston Electric,Texas,ERCOT,"1,950","715,000","severe weather, hurricane/tropical storm",31,-100,,
1348,Hurricane Rita,2005,9/23/2005,9:00 p.m.,9/25/2005,7:30 a.m.,Entergy Corporation,"Texas, Louisiana, Arkansas, Mississippi",SPP,,"766,000","severe weather, hurricane/tropical storm",31,-100,,
1349,Hurricane Rita,2005,9/23/2005,1:06 p.m.,10/6/2005,2:30 p.m.,Louisiana Generating,Louisiana,SPP,350,"125,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
1350,Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005,9/23/2005,7:00 a.m.,9/28/2005,11:29 a.m.,City of Lakeland,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",27.994402,-81.760254,,
1351,Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005,9/22/2005,12:00 p.m.,9/29/2005,12:00 p.m.,Progress Energy Florida,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",27.994402,-81.760254,,
1352,Severe Thunderstorm,2005,9/22/2005,11:00 a.m.,9/26/2005,11:30 p.m.,DTE Energy,Michigan,ECAR,366,"53,000","severe weather, thunderstorm",44.182205,-84.506836,,
1353,High Winds/Tornados,2005,9/21/2005,7:00 p.m.,9/27/2005,11:00 p.m.,Xcel Energy - Northern States  Power,Minnesota,MRO,,"200,000","severe weather, tornado",46.39241,-94.63623,,
1354,Hurricane Ophelia,2005,9/14/2005,3:00 p.m.,9/15/2005,3:00 p.m.,Progress Energy - Carolinas,North Carolina,SERC,215,"60,000","severe weather, hurricane/tropical storm",35.782169,-80.793457,,
1355,Severe Storm,2005,9/13/2005,6:30 p.m.,9/16/2005,8:00 p.m.,We Energies,Wisconsin,MAIN,600,"110,000","severe weather, storm",44.5,-89.5,,
1356,Voltage Reduction/Load Shed,2005,9/13/2005,2:14 p.m.,9/13/2005,2:29 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,249,"66,480","voltage reduction, load shedding",18.2208,66.5901,,
1357,Breaker protection cable accidentally cut,2005,9/12/2005,12:32 p.m.,9/12/2005,1:56 p.m.,Los Angeles Department of Water and Power,California,WECC,"2,578","900,000",equipment failure,36.778259,-119.417931,,
1358,Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,4:00 p.m.,9/12/2005,8:00 a.m.,Seminole Electric Cooperative,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",27.994402,-81.760254,,
1359,Hurricane Katrina,2005,8/29/2005,6:00 a.m.,8/30/2005,6:00 a.m.,Entergy Corporation,Louisiana,SPP,,"1.1 million and 100,000 gas customers","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
1360,Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005,8/29/2005,7:10 a.m.,9/7/2005,3:00 p.m.,Progress Energy Florida,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency",27.994402,-81.760254,,
1361,Hurricane Katrina,2005,8/29/2005,1:10 a.m.,8/29/2005,12:42 p.m.,Louisiana Generating,Louisiana,SPP,300,"143,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
1362,Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,City of Lakeland,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",27.994402,-81.760254,,
1363,Hurricane Katrina,2005,8/29/2005,3:50 p.m.,9/10/2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,"323,529","severe weather, hurricane/tropical storm",32.31823,-86.902298,,
1364,Hurricane Katrina,2005,8/29/2005,7:10 a.m.,8/29/2005,10:00 p.m.,Southern Company,"Alabama, Florida, Mississippi",SERC,"5,120","512,049","severe weather, hurricane/tropical storm",32.31823,-86.902298,,
1365,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,3:51 p.m.,8/25/2005,8:00 p.m.,Southern California Edison Company,California,WECC,864,"409,000","load shedding, transmission interruption",36.778259,-119.417931,,
1366,CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,3:50 p.m.,8/25/2005,8:00 p.m.,California ISO,California,WECC,-,-,"load shedding, public appeal",36.778259,-119.417931,,
1367,Severe Thunderstorms,2005,8/20/2005,2:15 p.m.,8/20/2005,4:21 p.m.,American Electric Power -AEP West,Arkansas,ECAR,650,"50,797","severe weather, thunderstorm",34.799999,-92.199997,,
1368,Voltage Reduction/Load Shed,2005,8/19/2005,7:37 p.m.,8/19/2005,8:15 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,259,"71,864","voltage reduction, load shedding",18.2208,66.5901,,
1369,Plant Tripped,2005,8/8/2005,12:38 p.m.,8/8/2005,4:00 p.m.,Crockett Cogeneration,California,WECC,240,PG&E,equipment failure,36.778259,-119.417931,,
1370,Voltage Reduction/Load Shed,2005,8/1/2005,10:28 a.m.,8/1/2005,10:47 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,175,"47,116","voltage reduction, load shedding",18.2208,66.5901,,
1371,Severe Thunderstorm,2005,7/28/2005,8:30 p.m.,8/1/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,"North Carolina, South Carolina",SERC,300,"52,200","severe weather, thunderstorm",35.782169,-80.793457,,
1372,Severe Thunderstorms,2005,7/27/2005,4:50 p.m,7/28/2005,9:24 p.m.,PECO Energy,"Delaware, Pennsylvania",MAAC,,"93,837","severe weather, thunderstorm",39,-75.5,,
1373,Severe Thunderstorm,2005,7/27/2005,5:50 p.m.,7/30/2005,9:07 p.m.,Potomac Electric Power Company (Pepco),Maryland,MAAC,,"64,943","severe weather, thunderstorm",39.045753,-76.641273,,
1374,Severe Thunderstorms,2005,7/27/2005,6:00 p.m.,7/29/2005,4:00 p.m.,Baltimore Gas and Electric Company,Maryland,MAAC,,"87,600","severe weather, thunderstorm",39.045753,-76.641273,,
1375,Severe Thunderstorms,2005,7/23/2005,1:02 a.m.,7/26/2005,10:50 a.m.,Potomac Electric Power Company (Pepco),Maryland,MAAC,,"55,118","severe weather, thunderstorm",39.045753,-76.641273,,
1376,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,1:55 p.m.,7/22/2005,6:00 p.m.,Southern California Edison Company,California,WECC,206,"133,900",load shedding,36.778259,-119.417931,,
1377,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,2:39 p.m.,7/21/2005,5:30 p.m.,Southern California Edison Company,California,WECC,197,"128,050",load shedding,36.778259,-119.417931,,
1378,Hurricane Dennis,2005,7/10/2005,8:00 a.m.,7/12/2005,8:00 a.m.,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,"228,102","severe weather, hurricane/tropical storm",32.31823,-86.902298,,
1379,Hurricane Dennis,2005,7/10/2005,12:53 p.m.,7/11/2005,5:33 PM,Alabama Electric Coop Inc.,"Alabama, Florida",SERC,51.2,"50,000","severe weather, hurricane/tropical storm",32.31823,-86.902298,,
1380,Tropical Storm Cindy,2005,7/5/2005,9:00 p.m.,7/6/2005,9:00 a.m.,Entergy Corporation,Louisiana,SPP,unknown,"287,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
1381,Load Shedding,2005,7/2/2005,1:27 a.m.,7/2/2005,1:46 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,226,"132,290",load shedding,18.2208,66.5901,,
1382,Fuel Supply - Deficiency Coal Rail Transporation Interruption,2005,7/1/2005,,Ongoing,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,0,0,"fuel supply emergency, coal",31,-100,,
1383,Strong Thunderstorm/High Winds,2005,6/29/2005,4:30 p.m.,7/4/2005,11:30 p.m.,DTE Energy,Michigan,ECAR,"1,000","114,711","severe weather, thunderstorm",44.182205,-84.506836,,
1384,Fuel Supply Deficiency/Coal Rail Transportation Interruption,2005,6/28/2005,11:30 a.m.,Ongoing,Ongoing,Public Service Company of Colorado,Colorado,WECC,0,0,"fuel supply emergency, coal",39.113014,-105.358887,,
1385,Transmission Equipment Failure,2005,6/24/2005,8:37 p.m.,6/24/2005,11:06 p.m.,Commonwealth Edison Company,Illinois,MAIN,350,"51,500","equipment failure, transmission interruption",40,-89,,
1386,Voltage Reduction,2005,6/20/2005,11:16 a.m.,6/20/2005,5:15 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,35,"600,000",voltage reduction,18.2208,66.5901,,
1387,Strong Thunderstorm,2005,6/8/2005,4:00 a.m.,6/10/2005,10:00 p.m.,Xcel Energy - Northern States Power,Minnesota,MRO,50-100,"300,000","severe weather, thunderstorm",46.39241,-94.63623,,
1388,Strong Thunderstorms,2005,6/6/2005,12:00 p.m.,6/8/2005,6:00 p.m.,New York  State Electric and Gas,New York,NPCC,,"65,000","severe weather, thunderstorm",43,-75,,
1389,Strong Thunderstorm,2005,6/6/2005,4:43  p.m.,6/7/2005,10:00 p.m.,PECO Energy,"Delaware, Pennsylvania",MAAC,,"143,000","severe weather, thunderstorm",39,-75.5,,
1390,Strong Thunderstorm/High Winds,2005,6/5/2005,2:00 p.m.,6/10/2005,7:30 a.m.,DTE Energy,Michigan,ECAR,"1,826","201,580","severe weather, thunderstorm",44.182205,-84.506836,,
1391,Strong Thunderstorm,2005,6/5/2005,2:00 p.m.,6/7/2005,6:00 p.m.,Consumers Energy,Michigan,ECAR,50-60,"105,000","severe weather, thunderstorm",44.182205,-84.506836,,
1392,Strong Thunderstorms,2005,5/29/2005,8:00 p.m.,5/30/2005,2:30 a.m.,CenterPoint Energy Houston Electric,Texas,ERCOT,328,"123,000","severe weather, thunderstorm",31,-100,,
1393,Voltage Reduction,2005,5/11/2005,7:00 p.m.,5/11/2005,8:31 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,529,,voltage reduction,18.2208,66.5901,,
1394,Strong Thunderstorms,2005,5/8/2005,3:00 p.m.,5/8/2005,10:00 p.m.,CenterPoint Energy Houston Electric,Texas,ERCOT,672,"243,000","severe weather, thunderstorm",31,-100,,
1395,Thunderstorms,2005,4/30/2005,8:00 a.m.,4/30/2005,10:00 a.m.,Southern Company,"Alabama, Georgia",SERC,100,"51,808","severe weather, thunderstorm",32.31823,-86.902298,,
1396,Winter Storm,2005,4/23/2005,6:00 a.m,4/27/2005,6:00 a.m.,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"150,000","severe weather, winter storm",40.367474,-82.996216,,
1397,Voltage Reduction,2005,4/23/2005,4:22 a.m.,4/23/2005,4:48 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,345,"116,552",voltage reduction,18.2208,66.5901,,
1398,Lightning Strike,2005,4/22/2005,3:51 p.m.,4/22/2005,3:59 p.m.,Crockett Cogeneration,California,WECC,126,PG&E,"severe weather, thunderstorm",36.778259,-119.417931,,
1399,Winter Storm,2005,4/1/2005,Midnight,4/6/2005,12:00 p.m.,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"211,000","severe weather, winter storm",40.367474,-82.996216,,
1400,Wind Storms,2005,3/8/2005,11:00 a.m.,3/8/2005,3:00 p.m.,Progress Energy - Carolinas,North Carolina,SERC,180,"51,600","severe weather, wind",35.782169,-80.793457,,
1401,Voltage Reduction,2005,2/24/2005,12:58 a.m.,2/24/2005,1:05 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,200,,voltage reduction,18.2208,66.5901,,
1402,Generator Loss/Voltage Reduction,2005,2/18/2005,8:16 a.m.,2/18/2005,8:41 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,648,"372,288","equipment failure, voltage reduction",18.2208,66.5901,,
1403,Load Shedding,2005,2/16/2005,1:26 p.m.,2/16/2005,1:43 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,325,"139,438",load shedding,18.2208,66.5901,,
1404,Generator Loss,2005,2/15/2005,1:12 p.m.,2/15/2005,1:30 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,380,,equipment failure,18.2208,66.5901,,
1405,Voltage Reduction,2005,2/1/2005,5:78 p.m.,2/1/2005,6:01 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,460,,voltage reduction,18.2208,66.5901,,
1406,Ice Storm,2005,1/29/2005,4:00 p.m.,1/30/2005,3:00 p.m.,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,"82,000","severe weather, winter storm",33.247875,-83.441162,,
1407,Ice Storm,2005,1/29/2005,10:00 a.m.,1/31/2005,10:00 a.m,Southern Company,"Alabama, Georgia",SERC,100,"150,000","severe weather, winter storm",32.31823,-86.902298,,
1408,Voltage Reduction/Shed Load,2005,1/24/2005,6:38 a.m.,1/24/2005,6:50 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,225,"70,717","load shedding, voltage reduction",18.2208,66.5901,,
1409,Voltage Reduction/Shed Load,2005,1/24/2005,12:27 p.m.,1/24/2005,12:34 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,385,,"load shedding, voltage reduction",18.2208,66.5901,,
1410,Voltage Reduction,2005,1/23/2005,10:42 a.m.,1/23/2005,11:24 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,140,,voltage reduction,18.2208,66.5901,,
1411,Voltage Reduction,2005,1/19/2005,9:17 a.m.,1/19/2005,9:27 a.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,209,,voltage reduction,18.2208,66.5901,,
1412,Winter Storm,2005,1/7/2005,1:00 p.m.,1/10/2005,8:00 a.m.,Pacific Gas and Electric Company,California,WECC,120,"442,000","severe weather, winter storm",36.778259,-119.417931,,
1413,Ice Storm,2005,1/5/2005,4:00 p.m.,1/13/2005,6:00 p.m.,Ohio Edison/First Energy,Ohio,ECAR,250,"246,990","severe weather, winter storm",40.367474,-82.996216,,
1414,Winter Ice Storm,2005,1/5/2005,9:10 p.m.,1/16/2005,11:00 a.m.,American Electric Power,"Indiana, Michigan",ECAR,545,"114,791","severe weather, winter storm",40.273502,-86.126976,,
1415,Winter Storm,2005,1/4/2005,6:00 p.m.,1/14/2005,12:00 p.m.,Westar Energy,Kansas,SPP,200,"211,000","severe weather, winter storm",38.5,-98,,
1416,Severe Weather/Line Relayed,2004,12/27/2004,7:50 a.m.,12/27/2004,10:50 a.m.,Pacific Gas and Electric  Company,California,WECC,100,"95,000",severe weather,36.778259,-119.417931,,
1417,Major Freezing Rain and Ice Storm,2004,12/23/2004,3:37 a.m.,12/31/2004,11:00 p.m.,American Electric Power,Ohio,ECAR,800,"359,171","severe weather, winter storm",40.367474,-82.996216,,
1418,High Winds,2004,12/1/2004,10:00 a.m.,12/2/2004,11:59 p.m.,Baltimore Gas & Electric Company,Maryland,MAAC,270,"122,000","severe weather, wind",39.045753,-76.641273,,
1419,Heavy Rain and Wind Storm,2004,12/1/2004,7:30 a.m.,12/2/2004,10:09 p.m.,Exelon (PECO Energy),"Delaware, Pennsylvania",MAAC,-,"105,312","severe weather, storm",39,-75.5,,
1420,Strong Thunderstorms,2004,11/24/2004,10:00 a.m.,11/24/2004,4:00 p.m.,Southern Company,Georgia,SERC,100,"83,450","severe weather, thunderstorm",33.247875,-83.441162,,
1421,Strong Thunderstorms,2004,11/23/2004,10:00 p.m.,11/24/2004,1:00 a.m.,CenterPoint Energy,Texas,ERCOT,150,"119,000","severe weather, thunderstorm",31,-100,,
1422,Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,2004,11/9/2004,2:15 p.m.,11/12/2004,1:07p.m.,Keyspan Energy,"New Jersey, New York",NPCC,0,0,"fuel supply emergency, natural gas",39.833851,-74.871826,,
1423,Severe Storm with High Wind Gusts,2004,10/30/2004,10:00 a.m.,11/1/2004,6:00 p.m.,Consumers Energy,Michigan,ECAR,60,"122,000","severe weather, wind",44.182205,-84.506836,,
1424,High Wind Gusts,2004,10/30/2004,12:30  p.m.,11/3/2004,1:50 p.m.,DTE Energy,Michigan,ECAR,700,"159,870","severe weather, wind",44.182205,-84.506836,,
1425,Major Transmission Distribution System Interruption,2004,10/28/2004,3:27 p.m.,10/28/2004,6:08 p.m.,Pacific Gas and Electric  Company,California,WECC,103,"59,458",transmission interruption,36.778259,-119.417931,,
1426,Public Appeal/Breaker Failure and Fire,2004,10/25/2004,11:00 a.m.,10/26/2004,10:00 a.m.,Entergy Transmission,Louisiana,SPP,-,-,"wild fire, public appeal",30.39183,-92.329102,,
1427,Severe Storm with High Wind Gusts,2004,10/18/2004,10:30 p.m.,10/20/2004,9:00 a.m.,Pacific Gas and Electric  Company,California,WECC,140,"407,440","severe weather, wind",36.778259,-119.417931,,
1428,Breaker Failure,2004,10/10/2004,5:09 p.m.,10/11/2004,7:57 p.m.,Puerto Rico Electric Power Authority,Puerto Rico,PR,All,All,equipment failure,18.2208,66.5901,,
1429,Hurricane Jeanne,2004,9/27/2004,8:00 a.m.,9/27/2004,2:00 p.m.,Southern Company,Georgia,SERC,854,"85,455","severe weather, hurricane/tropical storm",33.247875,-83.441162,,
1430,Hurricane Jeanne,2004,9/26/2004,3:00 a.m.,9/30/2004,9:00 a.m.,Orlando Utilities Commission,Florida,FRCC,350,"110,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1431,Hurricane Jeanne,2004,9/26/2004,6:00 a.m.,10/1/2004,12:00 a.m.,Progress Energy Florida,Florida,FRCC,"1,800","722,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1432,Hurricane Jeanne,2004,9/26/2004,2:00 a.m.,9/27/2004,12:00 a.m.,Tampa Electric Company,Florida,FRCC,"1,250","285,300","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1433,Hurricane Jeanne,2004,9/25/2004,5:00 p.m.,9/26/2004,9:00 a.m.,Fort Pierce Utilities Authority,Florida,FRCC,125,"26,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1434,Hurricane Ivan,2004,9/17/2004,4:30 a.m.,9/18/2004,12:00 p.m.,Progress Energy -Carolinas,North Carolina,SERC,400,"112,000","severe weather, hurricane/tropical storm",35.782169,-80.793457,,
1435,Hurricane Ivan,2004,9/16/2004,9:00 p.m.,9/20/2004,4:00 p.m.,Duke Energy Company/Duke Power Control Area,"North Carolina, South Carolina",SERC,500,"175,000","severe weather, hurricane/tropical storm",35.782169,-80.793457,,
1436,Hurricane Ivan,2004,9/16/2004,2:00 a.m.,9/16/2004,10:02 a.m.,Alabama Electric Cooperative,"Alabama, Florida",SERC,263,"75,000","severe weather, hurricane/tropical storm",32.31823,-86.902298,,
1437,Hurricane Ivan,2004,9/15/2004,7:00 p.m.,9/17/2004,7:00 p.m.,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,916,"916,316","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1438,Hurricane Jeanne,2004,9/15/2004,12:04 p.m.,09/23/04 12:00 p.m.,,Puerto Rico Electric Power Authority,Puerto Rico,PR,"1,243","1,423,590","severe weather, hurricane/tropical storm",18.2208,66.5901,,
1439,Hurricane Frances,2004,9/7/2004,10:00 a.m.,9/8/2004,12:00 p.m.,Georgia System Operations,Georgia,SERC,"2,200","150,000","severe weather, hurricane/tropical storm",33.247875,-83.441162,,
1440,Hurricane Frances,2004,9/6/2004,1:00 p.m.,9/9/2004,12:00 p.m.,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"3,000","99,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
1441,Hurricane Frances,2004,9/5/2004,1:00 a.m.,9/9/2004,5:00 p.m.,Orlando Utilities Commission,Florida,FRCC,200,"65,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
